grupo_equipe;data_inicio_exec;data_fim_exec;aerogerador;desc_especie;desc_esquema;quantidade
AGD;2026-02-23 13:30:00;2026-02-23 14:15:00;AQB-07;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-23 13:30:00;2026-02-23 14:15:00;AQB-93;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-23 14:00:00;2026-02-23 14:30:00;AQB-MV;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-24 08:00:00;2026-02-24 16:40:00;CBO-01;GERADOR;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-02-24 08:00:00;2026-02-24 16:40:00;CBO-01;NACELLE;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-02-24 08:00:00;2026-02-24 16:40:00;CBO-01;SISTEMA PITCH;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-02-24 08:00:00;2026-02-24 16:40:00;CBO-01;TORRE WTG;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-02-24 08:00:00;2026-02-24 17:00:00;CBO-01;AEROGERADOR;AVALIAÇÃO DE EQUIPE;1
AGD;2026-02-25 14:30:00;2026-02-25 15:00:00;AQB-30;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-25 14:30:00;2026-02-25 15:00:00;AQB-52;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-25 14:30:00;2026-02-25 15:00:00;AQB-75;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-26 07:50:00;2026-02-26 08:20:00;AQB-77;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-26 07:50:00;2026-02-26 08:30:00;AQB-34;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-26 08:00:00;2026-02-26 08:40:00;AQB-64;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-26 10:00:00;2026-02-26 10:40:00;AQB-62;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-26 10:30:00;2026-02-26 11:10:00;AQB-52;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-26 10:40:00;2026-02-26 11:10:00;AQB-03;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-26 10:40:00;2026-02-26 11:20:00;AQB-75;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-26 13:00:00;2026-02-26 13:20:00;AQB-61;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-26 13:00:00;2026-02-26 13:30:00;AQB-79;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-26 14:30:00;2026-02-26 15:40:00;AQB-43;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-26 15:30:00;2026-02-26 16:00:00;AQB-71;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-27 08:00:00;2026-02-27 09:00:00;AQB-67;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-27 08:00:00;2026-02-27 10:00:00;AQB-30;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-27 08:00:00;2026-02-27 10:00:00;AQB-69;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-27 08:00:00;2026-02-27 10:00:00;AQB-82;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-27 09:00:00;2026-02-27 09:40:00;AQB-51;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-03-02 08:00:00;2026-03-05 07:16:00;AMP-OL;PARQUE EÓLICO;APR - PT;1
AGD;2026-03-02 09:00:00;2026-03-02 10:00:00;AMP-02;NACELLE;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-02 10:20:00;2026-03-02 10:40:00;AMP-01;CONVERSOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-02 10:20:00;2026-03-02 10:40:00;AMP-01;GERADOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-02 10:20:00;2026-03-02 10:40:00;AMP-01;NACELLE;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-02 10:20:00;2026-03-02 10:40:00;AMP-01;SISTEMA PITCH;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-02 10:20:00;2026-03-02 10:40:00;AMP-01;TORRE WTG;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-02 10:45:00;2026-03-02 10:55:00;AMP-02;CONVERSOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-02 10:45:00;2026-03-02 10:55:00;AMP-02;GERADOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-02 10:45:00;2026-03-02 10:55:00;AMP-02;SISTEMA PITCH;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-02 10:45:00;2026-03-02 10:55:00;AMP-02;TORRE WTG;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-02 11:00:00;2026-03-02 11:15:00;AMP-03;CONVERSOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-02 11:00:00;2026-03-02 11:15:00;AMP-03;GERADOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-02 11:00:00;2026-03-02 11:15:00;AMP-03;SISTEMA PITCH;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-02 11:00:00;2026-03-02 11:15:00;AMP-03;TORRE WTG;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-02 11:00:00;2026-03-02 11:30:00;AMP-03;NACELLE;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 09:00:00;2026-03-03 10:00:00;AMP-15;CONVERSOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 09:10:00;2026-03-03 09:30:00;AMP-15;GERADOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 09:10:00;2026-03-03 09:30:00;AMP-15;NACELLE;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 09:10:00;2026-03-03 09:30:00;AMP-15;SISTEMA PITCH;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 09:10:00;2026-03-03 09:30:00;AMP-15;TORRE WTG;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 09:35:00;2026-03-03 10:05:00;AMP-14;CONVERSOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 09:35:00;2026-03-03 10:05:00;AMP-14;GERADOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 09:35:00;2026-03-03 10:05:00;AMP-14;NACELLE;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 09:35:00;2026-03-03 10:05:00;AMP-14;SISTEMA PITCH;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 09:35:00;2026-03-03 10:05:00;AMP-14;TORRE WTG;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 10:08:00;2026-03-03 10:20:00;AMP-11;CONVERSOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 10:08:00;2026-03-03 10:20:00;AMP-11;GERADOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 10:08:00;2026-03-03 10:20:00;AMP-11;NACELLE;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 10:08:00;2026-03-03 10:20:00;AMP-11;SISTEMA PITCH;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 10:08:00;2026-03-03 10:20:00;AMP-11;TORRE WTG;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 10:22:00;2026-03-03 10:33:00;AMP-13;CONVERSOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 10:22:00;2026-03-03 10:33:00;AMP-13;GERADOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 10:22:00;2026-03-03 10:33:00;AMP-13;NACELLE;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 10:22:00;2026-03-03 10:33:00;AMP-13;SISTEMA PITCH;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 10:22:00;2026-03-03 10:33:00;AMP-13;TORRE WTG;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 10:35:00;2026-03-03 10:50:00;AMP-12;CONVERSOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 10:35:00;2026-03-03 10:50:00;AMP-12;GERADOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 10:35:00;2026-03-03 10:50:00;AMP-12;NACELLE;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 10:35:00;2026-03-03 10:50:00;AMP-12;SISTEMA PITCH;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-03 10:35:00;2026-03-03 10:50:00;AMP-12;TORRE WTG;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 10:20:00;2026-03-04 10:30:00;AMP-04;CONVERSOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 10:20:00;2026-03-04 10:30:00;AMP-04;GERADOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 10:20:00;2026-03-04 10:30:00;AMP-04;NACELLE;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 10:20:00;2026-03-04 10:30:00;AMP-04;SISTEMA PITCH;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 10:20:00;2026-03-04 10:30:00;AMP-04;TORRE WTG;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 10:35:00;2026-03-04 10:45:00;AMP-05;CONVERSOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 10:35:00;2026-03-04 10:45:00;AMP-05;GERADOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 10:35:00;2026-03-04 10:45:00;AMP-05;NACELLE;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 10:35:00;2026-03-04 10:45:00;AMP-05;SISTEMA PITCH;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 10:35:00;2026-03-04 10:45:00;AMP-05;TORRE WTG;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 10:50:00;2026-03-04 11:00:00;AMP-06;CONVERSOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 10:50:00;2026-03-04 11:00:00;AMP-06;GERADOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 10:50:00;2026-03-04 11:00:00;AMP-06;NACELLE;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 10:50:00;2026-03-04 11:00:00;AMP-06;SISTEMA PITCH;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 10:50:00;2026-03-04 11:00:00;AMP-06;TORRE WTG;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 11:05:00;2026-03-04 11:25:00;AMP-07;CONVERSOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 11:05:00;2026-03-04 11:25:00;AMP-07;GERADOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 11:05:00;2026-03-04 11:25:00;AMP-07;NACELLE;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
